"","label","type","author","title","journal","year","volume","month","abstract","doi","earlyaccessdate","article_number","issn","eissn","researcherid_numbers","orcid_numbers","unique_id","number","pages","note","organization","citation","notes"
"113","X.WOS.000533807700002","article","Barnes, Michael R. and Nelson, Kristen C. and Dahmus, Maria E.","What's in a yardscape? A case study of emergent ecosystem services and disservices within resident yardscape discourses in Minnesota","URBAN ECOSYSTEMS","2020","23","DEC","Residential yardscapes are at the forefront of human interaction with nature for those living in urban areas across Europe and North America. In recent years a significant amount of research has investigated urban green spaces using the ecosystem services framework (ES) along with ecosystem disservices (ED) and how such spaces deliver urban ecosystem services (UES). However, a gap exists in understanding how ES and ED manifest themselves in the more specific context of residential yardscapes. Specifically, do homeowners conceptualize ES and ED when talking about their yards without specific prompts to reflect services and disservices? The current work presents a case study of homeowners in the Minneapolis-St. Paul metropolitan area in Minnesota, United States. We used two associated surveys to elicit responses related to homeowners' yards. Without prompting, homeowner conceptualizations of their yardscapes reflected all ES categories with cultural (CES) (e.g., family recreation) and provisioning (PES) (e.g., vegetable cultivation) services cited most often. Homeowners also mentioned ED associated with their own or a neighbor's yard (e.g., attraction of nuisance wildlife). Their plans for yardscapes indicated largely incremental changes (e.g., putting in a new planting bed) vs. drastic shifts (e.g., complete replacement of turfgrass with alternative vegetation). This case study illustrates that the homeowners' conceptualizations of their yards do indeed reflect current ES \& ED frameworks without specific prompting. The ES framework, combined with the identified leverage points, can be a fruitful approach for enhancing UES and minimizing ED within residential yardscapes.","10.1007/s11252-020-01005-2","MAY 2020",NA,"1083-8155","1573-1642","Barnes, Michael/IAO-2499-2023","Barnes, Michael/0000-0003-1981-2220","WOS:000533807700002","6","1167-1179",NA,NA,"What's in a Yardscape? a Case Study of Emergent Ecosystem Services and Disservices Within Resident Yardscape Discourses in Minnesota.",NA
"123","X.WOS.000341701300004","article","Rodrigues, Nayara Nascimento and Martinez, Romari Alejandra","Wildlife in our backyard: interactions between Wied's marmoset <i>Callithrix kuhlii</i> (Primates: Callithrichidae) and residents of Ilheus, Bahia, Brazil","WILDLIFE BIOLOGY","2014","20","APR","Ecological and behavioral plasticity allow marmosets, genus Callithrix, to adapt and succeed in urban areas. This research assess proximity and relationships between Wied's marmoset Callithrix kuhlii, domestic animals and residents of Ilheus, Bahia, Brazil. We collected data on the species' urban ecology and biology, since it has been little studied so far. Tools for data gathering included semi-structured interviews, direct observations and GPS-mapping. There were sightings within the three major districts of Ilheus, with 37\% of positive questionnaires (n = 359) for marmoset sighting at least weekly. Therefore, marmosets were considered common in this city. Most records and frequent sightings were associated with secondary forest fragments, backyards with fruit trees and mangroves. Marmosets travel among urban fragments using electrical and phone wires and crossing roads. There is a relatively small number of accidents when compared to the number of sightings, with electrocution as the most common. Visitation of marmosets to households, attracted by food provisioning, was considered frequent. People feel pity for the marmosets and lure them to their houses through food, but offered items are not always suitable. Marmoset exploration of uncommon habitats, such as mangroves, might be driven by a lack of larger forest fragments within the city.","10.2981/wlb.13057",NA,NA,"0909-6396","1903-220X",NA,NA,"WOS:000341701300004","2","91-96",NA,NA,"Wildlife in Our Backyard: Interactions Between Wied's Marmoset <i>callithrix Kuhlii</I> (Primates: Callithrichidae) and Residents of Ilheus, Bahia, Brazil.",NA
"135","X.WOS.000795006400001","article","Wheeler, Megan M. and Larson, Kelli L. and Bergman, Dena and Hall, Sharon J.","Environmental attitudes predict native plant abundance in residential yards","LANDSCAPE AND URBAN PLANNING","2022","224","AUG","Native plant landscaping can provide unique support for native wildlife in urban settings, but the drivers of native plant inclusion in private residential yards are not well characterized. As with other pro-environmental behaviors, native plant landscaping is likely driven by a combination of resident and landscape attributes. We ask, how do resident attitudes, knowledge, plant choice priorities, demographics, and parcel structure predict existing native plant abundance? To address this question, we compared resident characteristics with front yard woody vegetation in 105 parcels in Phoenix, Arizona. Although many residents had positive attitudes toward native plants, less than a third of woody plants in most yards were native. Native woody plant abundance was higher in xeric rock-covered yards where residents believed native plants belonged in the city, prioritized choosing native plants, and had higher household income. Reported knowledge about native plants was low, but did not predict native woody plant abundance. Although native plants in the arid environment of Phoenix are adapted to low water conditions, residents who prioritized low water use plant selection had fewer native plants, highlighting an opportunity for native plant marketing. These results suggest that educational campaigns to increase resident knowledge of native plant identification and care are unlikely to result in greater native plant abundance in the residential landscape. Marketing native plants to highlight qualities such as low water needs and addressing barriers such as horticultural availability and expense should be further investigated as potential methods of increasing native plant resources in urban environments.","10.1016/j.landurbplan.2022.104443","APR 2022","104443","0169-2046","1872-6062","Hall, Sharon J./K-7893-2012 ","Hall, Sharon/0000-0002-8859-6691","WOS:000795006400001",NA,NA,NA,NA,"Environmental Attitudes Predict Native Plant Abundance in Residential Yards.",NA
"143","X.WOS.000789604800001","article","Samus, Andreas and Freeman, Claire and Dickinson, Katharine J. M. and Van Heezik, Yolanda","Relationships between nature connectedness, biodiversity of private gardens, and mental well-being during the Covid-19 lockdown","URBAN FORESTRY \& URBAN GREENING","2022","69","MAR","Private gardens have an enormous impact on urban biodiversity, making individual householder behavior critical to the conservation and enhancement of biodiversity in urban areas. Nature connectedness is considered to be a prerequisite for proenvironmental behavior, but how it manifests in private gardens is largely unexplored. Nature connectedness has also been found to be associated with several well-being dimensions. The present study investigates the associations between nature connectedness, biodiversity of private gardens, and mental wellbeing during the Covid-19 lockdown, a stressful period in many people's lives. Hierarchical regression analyses were used to analyze data from an online survey of private gardeners in two cities, one in Germany and one in New Zealand, in May 2020, approximately two months after the beginning of the first Covid-19 lockdown. Garden characteristics explained a significant amount of variance in depression symptoms during the Covid-19 lockdown. In light of rising pressures on urban green spaces, the findings point to the importance of private garden qualities for mental health and well-being. Nature connectedness emerged as a significant predictor of feature richness, a measure of the heterogeneity of habitats that support wildlife, and plant growth form richness in people's gardens in both city samples. Nature connectedness was also a significant predictor of the extent to which people experienced positive emotions during the Covid-19 lockdown but not negative emotions and depression symptoms. Our results suggest that nature connectedness can provide benefits for both the environment and people through its positive association with private garden biodiversity and positive emotions.","10.1016/j.ufug.2022.127519","FEB 2022","127519","1618-8667","1610-8167","Dickinson, Katharine J.M./M-1728-2017 ","Samus, Andreas/0000-0003-3576-2729","WOS:000789604800001",NA,NA,NA,NA,"Relationships Between Nature Connectedness, Biodiversity of Private Gardens, and Mental Well-Being During the Covid-19 Lockdown.",NA
"146","X.WOS.001154187500001","article","Larson, Kelli L. and Clark, Jeffrey A. G. and Bateman, Heather L. and Enloe, Annika and Hughes, Bryan","To kill or not to kill? Exploring normative beliefs and attitudes toward snakes","BIOLOGICAL CONSERVATION","2024","290","FEB","Whether or not people believe killing snakes is morally acceptable affects the likelihood of harming them. An alternative is translocation, wherein snakes are relocated to nearby habitat. In our study based in semi-arid Phoenix, Arizona (USA), we examine residents' normative beliefs about killing snakes across different situations. Analyzing data from two survey samples-one of clients who paid for translocation and another of residents broadly, we assess if clients exhibit greater opposition to killing snakes and more positive attitudes toward them compared to the sample of residents, potentially indicating that translocation decisions might be intended as acts of conservation. Lastly, we address: to what extent do varied attitudes toward snakes, experiences with snakes, and socio-demographics influence people's beliefs about killing snakes overall and across distinct contexts: on private property and in residential homes or yards, as well as anytime, in desert habitat, and if someone is bitten? Our analyses demonstrate that residents substantially oppose killing snakes, although normative beliefs vary by context. Additionally, the client sample was more opposed to killing snakes and expressed more positive attitudes than residents broadly. Although disgust and other attitudes explain norms generally, different attitudes and socio-demographics affect norms depending on the context. Finally, although more frequent experiences with snakes did not impact norms in our analyses, experiences with snakes did increase positive attitudes toward them. Based on our findings, we recommend experiential learning to enhance appreciation of snakes and call for more research on the outcomes of translocations to ensure these decisions aid snake conservation.","10.1016/j.biocon.2023.110399","JAN 2024","110399","0006-3207","1873-2917",NA,NA,"WOS:001154187500001",NA,NA,NA,NA,"To Kill or not to Kill? Exploring Normative Beliefs and Attitudes Toward Snakes.",NA
"148","X.WOS.000383255200013","article","Frank, Anke S. K. and Carthey, Alexandra J. R. and Banks, Peter B.","Does Historical Coexistence with Dingoes Explain Current Avoidance of Domestic Dogs? Island Bandicoots Are Naive to Dogs, unlike Their Mainland Counterparts","PLOS ONE","2016","11","SEP 7","Introduced predators have a global reputation for causing declines and extinctions of native species. Native prey naivete towards novel predators is thought to be a key reason for predator impacts. However, naivete is not necessarily forever: where coexistence establishes, it is likely that naivete will be reduced through adaptation, and the once alien predator will eventually become recognised by prey. For example, native marsupial bandicoots in Sydney avoid backyards with domestic dogs (C. lupus familiaris), but not domestic cats (Felis catus), even though cats and dogs were both introduced about 200 years ago (Carthey and Banks 2012). The authors attributed bandicoots' recognition of dogs to long-term exposure to a close relative of dogs, dingoes that arrived in Australia 4000 years ago. Here, we test a prediction of this hypothesis by taking the study to Tasmania, where dingoes have never been present but where domestic dogs also arrived about 200 years ago. We use a similar survey design to that of Carthey and Banks (2012): asking Hobart residents to report on pet-ownership, bandicoot sightings and scats within their backyards, as well as an array of yard characteristic control variables. We predicted that if long term experience with dingoes enabled mainland bandicoots to recognise domestic dogs, then Tasmanian bandicoots, which are inexperienced with dingoes, would not recognise domestic dogs. Our results indicate that Tasmanian bandicoots are naive to both dogs and cats after only 200 years of coexistence, supporting our hypothesis and the notion that naivete in native prey towards alien predators (as observed on the mainland) may eventually be overcome.","10.1371/journal.pone.0161447",NA,"e0161447","1932-6203",NA,"Carthey, Alex/JZE-6066-2024 Frank, Anke Sybille Keiko/J-7789-2014 ","Banks, Peter/0000-0002-4340-6495 Frank, Anke Sybille Keiko/0000-0002-0177-4898 Carthey, Alexandra Jane Repin/0000-0002-0472-2217","WOS:000383255200013","9",NA,NA,NA,"Does Historical Coexistence with Dingoes Explain Current Avoidance of Domestic Dogs? Island Bandicoots are Naive to Dogs, Unlike their Mainland Counterparts.",NA
"156","X.WOS.000445501200013","article","Thabethe, Vuyisile and Downs, Colleen T.","Citizen science reveals widespread supplementary feeding of African woolly-necked storks in suburban areas of KwaZulu-Natal, South Africa","URBAN ECOSYSTEMS","2018","21","OCT","African woolly-necked storks (Ciconia microscelis) depend on wetland habitats for foraging and nesting in natural environments. Recently, they have started colonising urban environments in KwaZulu-Natal, South Africa, and are now a common sight in suburban areas in particular. There have been some anecdotal reports on supplementary feeding of this species by households in some urban areas where they are common. However, these reports have never been confirmed and therefore the extent of feeding and lack thereof is unknown. Using a questionnaire survey, we therefore investigated the extent (if any) to which householders in urban and suburban areas of KwaZulu-Natal provide supplementary food to African woolly-necked storks. We also determined the feeders' provisioning habits, and identified the motivation behind and attitudes toward feeding. We found that a significant number of householders fed African woolly-necked storks on a daily basis throughout the year. The majority of respondents provided meat while others provided inappropriate food such as bread. Respondents were most often motivated to feed for personal pleasure. Our results showed that this species is successfully utilising and exploiting anthropogenic food - a novel behaviour. The observations and narratives from respondents strongly suggest that the African woolly-necked stork is present throughout the year, contrary to the perception that this species is migratory during winter. Based on the results obtained in this study, supplementary feeding of African woolly-necked stork by householders is relatively common, widespread and established in suburban areas of KwaZulu-Natal, South Africa. However, reported inappropriate feeding may create concerns regarding the health status of African woolly-necked storks in urban population. Therefore, to prevent further detrimental effects and potential human-wildlife conflicts we recommend that suitable feeding guidelines be formulated.","10.1007/s11252-018-0774-6",NA,NA,"1083-8155","1573-1642","Downs, Colleen T./A-7770-2010 ","Downs, Colleen T./0000-0001-8334-1510 thabethe, vuyisile/0000-0002-3536-0757","WOS:000445501200013","5","965-973",NA,NA,"Citizen Science Reveals Widespread Supplementary Feeding of African Woolly-Necked Storks in Suburban Areas of Kwazulu-Natal, South Africa.",NA
"157","X.WOS.000867644600004","article","Gazzard, Abigail and Baker, Philip J.","What makes a house a home? Nest box use by West European hedgehogs (<i>Erinaceus europaeus</i>) is influenced by nest box placement, resource provisioning and site-based factors","PEERJ","2022","10","JUL 4","Artificial refuges provided by householders and/or conservation practitioners potentially represent one mechanism for mitigating declines in the availability of natural nest sites used for resting, breeding and hibernating in urban areas. The effectiveness of such refuges for different species is, however, not always known. In this study, we conducted a questionnaire survey of UK householders to identify factors associated with the use of ground-level nest boxes for West European hedgehogs (Erinaceus europaeus), a species of conservation concern. Overall, the percentage of boxes used at least once varied with season and type of use: summer day nesting (35.5-81.3\%), breeding (7.2- 28.2\%), winter day nesting (20.1-66.5\%) and hibernation (21.7-58.6\%). The length of time the box had been deployed, the availability of artificial food and front garden to back garden access significantly increased the likelihood that a nest box had been used for all four nesting types, whereas other factors related to placement within the garden (e.g., in a sheltered location, on hardstanding such as paving, distance from the house) and resource provisioning (bedding) affected only some nesting behaviours. The factors most strongly associated with nest box use were the provisioning of food and bedding. These data suggest, therefore, that householders can adopt simple practices to increase the likelihood of their nest box being used. However, one significant limitation evident within these data is that, for welfare reasons, householders do not routinely monitor whether their box has been used. Consequently, future studies need to adopt strategies which enable householders to monitor their boxes continuously. Ultimately, such studies should compare the survival rates and reproductive success of hedgehogs within artificial refuges versus more natural nest sites, and whether these are affected by, for example, the impact of nest box design and placement on predation risk and internal microclimate.","10.7717/peerj.13662",NA,"e13662","2167-8359",NA,"Gazzard, Abigail/KGL-6207-2024","Gazzard, Abigail/0000-0003-0604-7160","WOS:000867644600004",NA,NA,NA,NA,"What Makes a House a Home? Nest Box Use by West European Hedgehogs (<i>erinaceus Europaeus</I>) is Influenced by Nest Box Placement, Resource Provisioning and Site-Based Factors.",NA
"163","X.WOS.000422956500005","article","Baker, Sandra E. and Ellwood, Stephen A. and Johnson, Paul J. and Macdonald, David W.","Moles and Mole Control on British Farms, Amenities and Gardens after Strychnine Withdrawal","ANIMALS","2016","6","JUN","Simple Summary: Moles are burrowing mammals that are regarded as pests in Britain, and until 2006 they could legally be killed using strychnine poison. When strychnine was withdrawn there were fears that mole populations would increase. We surveyed farmers, amenity managers and householders about moles and mole control on their land in 2007, post strychnine withdrawal. Kill-trapping was by far the preferred control method used and control may be used more than can be justified by damage levels or the effect of control on damage. Mole traps are unregulated, unlike most other spring traps, and some might not meet current welfare standards. We found no evidence that mole activity had increased since a 1992 survey of farms. Abstract: Moles are considered pests in Britain, but this issue has been little studied. Lower welfare standards have been tolerated for moles than for most other managed wild mammal species, as use of both the controversial poison, strychnine, and unregulated traps have been permitted. Strychnine was withdrawn in 2006 and there were fears that mole populations would increase as a result. In 2007, we conducted a comprehensive, nationwide survey of land manager perceptions, opinions and behaviour regarding moles and mole control on farms, amenities and domestic gardens in Britain. We surveyed 2150 land managers (achieving a 59\% response rate) and ground-truthed 29 responses. Moles were reported to be present on most farms and amenities, and 13\% of gardens, and were more common in lighter soils. Where present, moles were usually considered pests, this being more likely in Wales, Scotland and northern England, on livestock and mixed farms, and on large, high-value amenities, e.g., racecourses and golf courses. Mole control followed similar patterns to mole presence. More control may occur than is economically, and therefore potentially ethically, justified. Control should be more carefully considered and, where necessary, more effectively targeted. Kill-trapping was the favoured recent and future method on farms and amenities, even if strychnine was to be reintroduced; however, because mole traps are currently unregulated, some might not meet current welfare standards if tested. We found no evidence for an increase in moles since a farm questionnaire survey conducted in 1992; this could have wider implications for future wildlife management policy changes.","10.3390/ani6060039",NA,"39","2076-2615",NA,NA,NA,"WOS:000422956500005","6",NA,NA,NA,"Moles and Mole Control on British Farms, Amenities and Gardens after Strychnine Withdrawal.",NA
"165","X.WOS.000806545300001","article","Bennett, Victoria J. and Agpalo, Elizabeth J.","Citizen Science Helps Uncover the Secrets to a Bat-Friendly Swimming Pool in an Urban Environment","FRONTIERS IN ECOLOGY AND EVOLUTION","2022","10","MAY 20","For urban environments to support bat communities, resources need to be readily available. For example, bats typically use urban water sources such as drainage ditches and ponds; however, these sources can be ephemeral. During these periods, bats have utilized residential swimming pools, although they only appear to drink at pools when access to more natural equivalents are limited. This posed the question ``can we make residential swimming pools friendlier for a diversity of bat species?{''} Using citizen science to determine which pool characteristics influenced bat activity, we distributed a questionnaire to residents in a suburban neighborhood in Fort Worth, TX, United States. It focused on observations of bat activity and the features of the pools and immediate surroundings. We distributed the questionnaire through social media, local presentations, and by mail throughout 2019 and 2020. We then used classification trees to determine which characteristics in combination influenced bat activity at the pools. We generated three different trees for bats observed (1) flying around the property and backyard, (2) above the swimming pool, and (3) drinking at the pool. We found that more bats were observed at unlit pools without bush or shrub borders. Furthermore, among pools with borders, activity was lowest at pools with textured interiors and >= 6 trees visible. The presence of features, such as fountains, then contributed to a reduction in bat observations in backyards and the presence of pets appeared to further reduce activity specifically over the pools. Where bats were observed drinking, this activity was reported the least at pools with bush or shrub borders, textured interiors, and trees 10 m from the edge of the pools. Our study revealed that certain characteristics of residential swimming pools encouraged bat activity, while others discouraged them. Thus, it may be possible to make swimming pools more bat-friendly. For example, turning lights off in the evening when backyards are not in use and reducing clutter around pools could have an immediate positive impact on local bat populations. The implementation of such recommendations could improve urban habitats for bats overall and alleviate some of the negative implications of continued urbanization.","10.3389/fevo.2022.860523",NA,"860523","2296-701X",NA,NA,NA,"WOS:000806545300001",NA,NA,NA,NA,"Citizen Science Helps Uncover the Secrets to a Bat-Friendly Swimming Pool in an Urban Environment.",NA
"167","X.WOS.000908302900001","article","Sonnenberg, Benjamin R. and Welklin, Joseph F. and Branch, Carrie L. and Pitera, Angela M. and Benedict, Lauren M. and Heinen, Virginia K. and Kozlovsky, Dovid Y. and Bridge, Eli S. and Pravosudov, Vladimir V.","Long-term winter food supplementation shows no significant impact on reproductive performance in Mountain Chickadees in the Sierra Nevada Mountains","ORNITHOLOGY","2023","140","FEB 14","Lay Summary center dot Supplemental feeding of avian species has been linked to beneficial, negative and neutral outcomes. Understanding the drivers behind these differences are important for understanding human impacts on avian populations as well as developing future conservation management plans. center dot We tracked a population of Mountain Chickadees from two elevations in the Sierra Nevada, USA for nine years and compared the breeding performance of pairs that used versus those that did not use feeders available throughout the winter. center dot The provisioning we provided is likely similar to the passive backyard feeding observed by many across the world but was conducted in an isolated natural coniferous forest environment. center dot Despite the robust long-term dataset and intensive reproductive monitoring, we found no significant differences in the reproductive performance of chickadees that accessed feeders and those that did not. center dot Our results add to the evidence that the effects of passive or targeted supplemental feeding are context and species dependent. Supplemental feeding of wild animal populations is popular across many areas of the world and has long been considered beneficial, especially to avian taxa. Over 4 billion dollars are spent by hobby bird feeders in the United States each year alone. However, there is mixed evidence whether wildlife feeding is beneficial, including when it is implemented as a conservation management tool, a targeted experimental design, or an avocation. Much of the current evidence suggests that providing supplemental food is advantageous to the reproductive output and general survival of focal taxa. However, many of these studies are limited in scope and duration, leaving possible negative impacts unaddressed. This is particularly true regarding passive backyard feeding, which describes the majority of supplemental feeding, including the immense effort of millions of public enthusiasts. Here we show that winter supplemental feeding prior to reproduction had no significant impact on a range of reproductive parameters in a resident, montane passerine species, the Mountain Chickadee (Poecile gambeli). This population resides in an intact natural environment with no exposure to supplemental food beyond our experimental treatments, and individual birds were tracked across six years using radio frequency identification technology. Our results add to the growing evidence that supplemental feeding alone, isolated from the effects of urban environments, may have little to no impact on the population dynamics of some avian taxa.","10.1093/ornithology/ukac051","OCT 2022",NA,"0004-8038","2732-4613",NA,"Pitera, Angela/0000-0002-6166-3639 Nguyen, Lauren/0000-0003-1540-6663 Kozlovsky, Dovid/0000-0001-8491-7729 Pravosudov, Vladimir/0000-0003-1117-7875 Sonnenberg, Benjamin/0000-0003-4496-4269 Bridge, Eli/0000-0003-3453-2008 Welklin, Joseph F./0000-0002-7534-8795 Heinen, Virginia/0000-0003-1804-3589","WOS:000908302900001","1",NA,NA,NA,"Long-Term Winter Food Supplementation Shows No Significant Impact on Reproductive Performance in Mountain Chickadees in the Sierra Nevada Mountains.",NA
"173","X.WOS.001005817300001","article","Gusto, Cody and Silvert, Colby and Warner, Laura A. and Diaz, John and Mallinger, Rachel","Exploring Floridians' perceptions of pollinator-friendly gardening to identify critical adoption barriers and strategies","URBAN FORESTRY \& URBAN GREENING","2023","81","MAR","Developed landscapes in urban and peri-urban environments significantly influence the diversity, abundance, and overall health of pollinator populations such as bees, butterflies, moths, and birds. Considering growing evidence demonstrating that pollinator health can be more robust in urban habitats than rural ones, the landscape development and management practices adopted in urban and suburban areas have a significant potential impact on pollinator health. Given their influence with respect to urban and suburban landscape management in Florida, it is critical to better understand the knowledge, attitudes, and perceptions of Florida residents regarding pollinator-friendly gardening practices such as the flowering plant installation or reduced pesticide application. To explore the most salient factors influencing residents' adoption of pollinator gardening practices, we facilitated three elicitation focus groups with 20 residents representing three distinct regions in Florida. Data analysis generated a series of salient sub-themes across two thematic categories: `barriers' and `solutions and strategies'. Major `barrier' themes included `limited knowledge or information access' about pollinator gardening, and `social norms/community expectations'. Major solution and strategy' themes included `developing neighborhood/homeowner association buy-in,' and `pre-installation research and planning'. Overall, findings demonstrate that Florida residents have strong views regarding both the most influential barriers to adopting or engaging in pollinator-friendly gardening and the most promising solutions or strategies to mitigate those barriers. These findings have tangible implications for educational practitioners interested in expanding distribution of targeted educational outreach to further promote the adoption of pollinator-friendly landscape management practices in Florida. Findings also have implications for researchers interested in further examining the socio-economic and socio-cultural factors most influential to residents' pollinator gardening practices.","10.1016/j.ufug.2023.127867","FEB 2023","127867","1618-8667","1610-8167",NA,"Warner, Laura/0000-0003-2784-6666 Gusto, Cody/0000-0003-0008-0533","WOS:001005817300001",NA,NA,NA,NA,"Exploring Floridians' Perceptions of Pollinator-Friendly Gardening to Identify Critical Adoption Barriers and Strategies.",NA
"174","X.WOS.001081458200001","article","Silvert, Colby J. and Gusto, Cody and Warner, Laura A. and Diaz, John M. and Mallinger, Rachel E.","How can residents protect and promote pollinators? The diffusion of residential pollinator-friendly gardening","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2023","345","NOV 1","Urbanization and land use change are leading causes of declines in pollinator abundance and diversity. However, researchers in different regions of the world have found that some pollinators can thrive in urban landscapes, depending on land use practices, environmental conditions, and species traits. Residential landscapes constitute a significant portion of urban green space and thus, residents' adoption of landscape practices to promote pollinators can play a central role in addressing the global pollinator challenge. Yet, although residents' willingness and intention appear strong, adoption of pollinator-friendly gardening remains low. The present study - guided by the Diffusion of Innovations theory - aimed to build empirical understanding by surveying 1598 Florida residents on their experiences and perceptions related to pollinator-friendly gardening to determine the most salient barriers and opportunities to engagement. Key findings suggest making the practice more widely observable and reducing perceived complexity in learning to do the practice are critical to promoting adoption. This demonstrates, in practical terms, that: (1) targeted efforts to build residents' actionable knowledge about pollinator-friendly gardening may significantly reduce uncertainty and boost the likelihood of adoption; and (2) examples of active pollinator gardens need to be more widely showcased and popularized (e.g., through experiential or virtual demonstrations). We also found most residents living in homeowner associations (HOAs) believed HOA policies on pollinator-friendly gardening were restrictive or the residents were unsure whether they are allowed to practice pollinator-friendly gardening. Given these perceptions strongly associated with residents' low intent to engage in pollinator-friendly gardening, a major opportunity exists to diffuse the practice and increase adoption by working with HOAs and community leaders to become promoters of - rather than barriers to - pollinator-friendly gardening.","10.1016/j.jenvman.2023.118877","SEP 2023","118877","0301-4797","1095-8630",NA,"Warner, Laura/0000-0003-2784-6666 Silvert, Colby/0000-0003-2055-7597 Gusto, Cody/0000-0003-0008-0533","WOS:001081458200001",NA,NA,NA,NA,"How can Residents Protect and Promote Pollinators? the Diffusion of Residential Pollinator-Friendly Gardening.",NA
"175","X.WOS.000918235100001","article","Davis, Amelie and Stoyko, Jessica","Barriers to Native Plantings in Private Residential Yards","LAND","2023","12","JAN","In urban areas, private yards can make up large portions of the available ``green space{''} which can be used to provide resources for many species, including birds, and pollinators. If residents are persuaded or willing to plant certain native plants, the aggregate effect of these plantings could be hugely beneficial for key pollinator species. The objectives of this study are to uncover impediments to adding different types of pollinator-beneficial plants to private yards, as well as ascertain which incentives to plant these native plants might be most persuasive, and finally determine if there are procedural knowledge gaps in how to plant, care for, or where to purchase three pollinator-beneficial plants. In this study, we randomly selected properties in two counties in southwestern Ohio along two gradients: parcel size and parcel valuation (as a proxy for income). Two hundred surveys were distributed and 113 were returned (57\% response rate). We find that, in aggregate, respondents do not have a strong intent to plant these native plants, especially Asclepias syriaca (a milkweed that serves as host plant to the iconic monarch butterfly; Danaus plexippus) and, surprisingly, the intent to plant these does not differ statistically even when help with costs, labor, or the provision of online resources are offered. We also find that the reported knowledge of where to purchase wildflowers is significantly higher than how to care for them and how to plant them. Lastly, respondents are much more confident in how to take care of trees compared to the three pollinator-beneficial plants shown in the survey. We discuss the implications of these findings for outreach and extension purposes.","10.3390/land12010114",NA,"114",NA,"2073-445X",NA,NA,"WOS:000918235100001","1",NA,NA,NA,"Barriers to Native Plantings in Private Residential Yards.",NA
"178","X.WOS.000431837800018","article","Lerman, Susannah B. and Contosta, Alexandra R. and Milam, Joan and Bang, Christofer","To mow or to mow less: Lawn mowing frequency affects bee abundance and diversity in suburban yards","BIOLOGICAL CONSERVATION","2018","221","MAY","Green spaces embedded within the urban matrix, particularly residential yards, could mitigate negative aspects of urban development and provide pollinator habitat. Lawns represent a dominant green space, and their management consists of frequent mowing to inhibit the growth of ostensibly ``weedy{''} species (e.g., dandelions and clover). Since widespread population declines of bees and other pollinators from habitat loss are a growing concern, these spontaneous flowers could provide pollen and nectar sources throughout the growing season. We experimentally tested whether different lawn mowing frequencies (1, 2 or 3 weeks) influenced bee abundance and diversity in 16 suburban western Massachusetts yards by increasing lawn floral resources. Lawns mowed every three weeks had as much as 2.5 times more lawn flowers than the other frequencies. Interestingly, lawns mowed every two weeks supported the highest bee abundance yet the lowest bee richness and evenness. We suggest these patterns were driven by a combination of more abundant floral resources (compared with 1-week yards), easier access to lawn flowers due to shorter grass and a more drastic impact on grass biomass and floral resources (compared with 3-week yards), and the dominance of a few generalist bees overwhelming our samples, thus driving richness and evenness. Our results highlight a ``lazy lawnmower{''} approach to providing bee habitat. Mowing less frequently is practical, economical, and a timesaving alternative to lawn replacement or even planting pollinator gardens. Given the pervasiveness of lawns coupled with habitat loss, our findings provide immediate solutions for individual households to contribute to urban conservation.","10.1016/j.biocon.2018.01.025",NA,NA,"0006-3207","1873-2917",NA,"Bang, Christofer/0000-0002-7542-8605 Contosta, Alexandra/0000-0002-1201-1765 Lerman, Susannah/0000-0002-2331-8439","WOS:000431837800018",NA,"160-174",NA,NA,"To Mow or to Mow Less: Lawn Mowing Frequency Affects Bee Abundance and Diversity in Suburban Yards.",NA
